,black,white,start_time,fourthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
0,GabrielBoulos,NachoMos,1601524884.0,f7f6,2.0,1.0,1132,1141,0,0
1,amibaa,P1811jnc,1601524936.0,e5f4,3.0,1.0,1089,1040,0,0
2,aydenb345,arthurvinicius0106,1601524993.0,d8h4,3.0,1.0,1158,1132,0,0
3,Saboia_elizeu,McSwunceHard,1601525042.0,e5f4,1.0,1.0,1186,1066,0,0
4,sw1nty,scandinaviansunset,1601525078.0,e5f4,4.0,0.0,1145,987,0,0
5,Eng_Fernando,NachoMos,1601525079.0,e5f4,2.0,0.0,1190,1147,0,0
6,WESLEYRIBEIRO,orkomeneses,1601525126.0,f8c5,0.0,1.0,1085,1079,0,0
7,HyperMazer,Chumbeque,1601525501.0,e5f4,4.0,1.0,948,951,0,0
8,maxdribble,followill8,1601525534.0,d7d5,5.0,1.0,1100,1095,0,0
9,giulianosf,L_3115,1601525550.0,d7d5,4.0,1.0,1096,943,0,0
10,WESLEYRIBEIRO,orkomeneses,1601525557.0,e5f4,0.0,1.0,1085,1079,1,0
11,Z10000000S,RobinHood35,1601525859.0,b8c6,1.0,1.0,1194,1197,0,0
12,HelloTheSecond,followill8,1601525972.0,e5f4,3.0,0.0,1060,1084,0,0
13,WESLEYRIBEIRO,orkomeneses,1601526032.0,b8c6,1.0,0.0,1085,1079,2,0
14,Ding1000,NachoMos,1601526101.0,b8c6,5.0,1.0,1144,1148,0,0
15,erayvardaar,Petjaxon,1601526300.0,b8c6,3.0,1.0,1160,1176,0,0
16,WESLEYRIBEIRO,orkomeneses,1601526466.0,e5f4,1.0,0.0,1084,1079,3,0
17,bellatrix111,followill8,1601526553.0,d7d5,21.0,0.0,1066,1072,0,0
18,Cleidivan,followill8,1601526760.0,f8d6,14.0,1.0,1049,1067,0,0
19,anshu67,jakulntakul,1601527176.0,a7a6,1.0,0.0,1191,1185,0,0
