,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
0,xhessfolife,math_floor,1601535673.0,e4e5,2.0,0.0,1098,1137,0,0
1,SrGordito,ridwani,1601535812.0,b1c3,-1.0,1.0,1031,1043,0,0
2,simplex2185,Eweheg,1601536305.0,e4d5,3.0,0.0,855,880,0,0
3,wilsonericn,apriori96,1601536810.0,e4e5,0.0,1.0,1123,1113,0,0
4,prowessjen,gop2cob,1601537391.0,e4d5,2.0,1.0,1079,1170,0,0
5,darkflower20,Edboi,1601538702.0,e4e5,4.0,1.0,1075,1039,0,0
6,nonexh,javahawk,1601538884.0,f1d3,4.0,1.0,1073,1038,0,0
7,ninjachef27,JuanGallego2707,1601539272.0,b1c3,3.0,0.0,1133,1145,0,0
8,hoppapotameos,Knightxf3,1601539767.0,e4d5,2.0,0.0,1093,1125,0,0
9,Comrian,xytiago,1601540143.0,e4e5,2.0,0.0,1184,1183,0,0
10,yho,XxMrJonesxX,1601540515.0,b1c3,18.0,0.0,987,1047,0,0
11,fortesdjack,paga99,1601540698.0,e4e5,1.0,0.0,1186,1152,0,0
12,feedmatthew,LukaLeung,1601540875.0,c2c3,1.0,0.0,1157,1126,0,0
13,RErwin,MoinZenMeister,1601540938.0,e4d5,2.0,0.0,1162,1052,0,0
14,Isuck121212,Uniquema,1601541497.0,e4d5,2.0,1.0,860,963,0,0
15,Comrian,regibwoy,1601542287.0,e4e5,3.0,1.0,1184,1142,1,0
16,JethroBodene,Jobsquared,1601542687.0,e4e5,4.0,0.0,1044,1013,0,0
17,fakedturnip,charito1,1601543375.0,e4d5,1.0,0.0,1126,1103,0,0
18,Nancypelosi1212,kenankoc0571,1601543454.0,e4e5,3.0,0.0,980,1033,0,0
19,Enver_pascha,Andres14_12,1601544587.0,e4e5,1.0,1.0,1009,976,0,0
20,allenac20,jose_fuks,1601545998.0,b1c3,0.0,1.0,1145,1162,0,0
21,MGD2001,hari30736,1601549183.0,e4d5,0.0,0.0,1090,1095,0,0
22,Poppippo,ayush_sengupta29,1601549306.0,e4d5,1.0,0.0,1180,1089,0,0
23,BigHandsTheMan,royleroy,1601549374.0,e4e5,2.0,0.0,1169,1169,0,0
24,ChessEsq,Luchitokeeper,1601549529.0,e4e5,3.0,0.0,1177,1169,0,0
25,ChessEsq,CeibaPower,1601550611.0,e4e5,2.0,0.0,1172,1138,1,0
26,sobersicilian,COLDFOX,1601551165.0,e4d5,1.0,1.0,1001,1015,0,0
27,MoNu92,Luchitokeeper,1601551633.0,e4e5,1.0,1.0,1195,1185,0,0
28,renebu,DATGUYABC123,1601551737.0,b1c3,1.0,0.0,1136,1140,0,0
29,petrosstroy,usaiscool,1601552017.0,f2f3,2.0,0.0,1053,904,0,0
30,Ravi7578,Hottehue1,1601552081.0,e4e5,1.0,1.0,1082,1192,0,0
31,Dgusev,Goda1958,1601552901.0,f1d3,10.0,0.0,1018,1056,0,0
32,GrumpyTwig,dilikkz,1601553448.0,e4e5,0.0,1.0,980,1029,0,0
33,Erdemius1,Crater_Face,1601554325.0,e4e5,2.0,1.0,1167,1148,0,0
34,Paja456,glen93,1601554556.0,e4e5,1.0,0.0,1175,1196,0,0
35,allenac20,Roman_Vladimirovich,1601554737.0,e4d5,0.0,0.0,1159,1111,1,0
36,MILLOPR,RebaczPospolity,1601554975.0,e4e5,4.0,1.0,1026,1124,0,0
37,Bogus-Altay,dafnog,1601556119.0,e4d5,1.0,0.0,1175,1186,0,0
38,Johnny76,mlrco,1601556194.0,e4e5,3.0,0.0,1181,1200,0,0
39,Erdemius1,idlechild,1601556479.0,e4e5,1.0,1.0,1156,1035,1,0
40,TheSpiceIsRight,pidge_jr,1601558174.0,e4d5,0.0,0.0,839,845,0,0
41,Pepper-Suya,imocssen,1601558879.0,e4e5,1.0,1.0,1173,1187,0,0
42,RErwin,wandeky,1601559495.0,e4e5,1.0,1.0,1161,1189,1,0
43,peej7,mattbundy,1601559796.0,b1c3,11.0,0.0,1125,1079,0,0
44,xmaathy,meta2003,1601560085.0,e4d5,2.0,1.0,839,896,0,0
45,archer534,satkrxman,1601560353.0,e4d5,0.0,1.0,1123,1090,0,0
46,BlunderPapi,adolfrojas,1601560521.0,e4e5,-1.0,1.0,1159,1179,0,0
47,MuxarpuH,plainpain,1601560679.0,b1c3,1.0,1.0,1083,1147,0,0
48,Pepper-Suya,ulyses32,1601560679.0,e4e5,1.0,1.0,1143,1149,1,0
49,paolos1977,fmsenra,1601560755.0,e4d5,4.0,1.0,1200,1183,0,0
50,DenisMiri,AmekOffiziell,1601560771.0,e4e5,2.0,0.0,997,965,0,0
51,zqxcy,mattbundy,1601560837.0,e4e5,0.0,1.0,925,1034,0,0
52,DenisMiri,antichamber,1601560946.0,e4e5,3.0,0.0,1002,1012,1,0
53,Leon-Rosheed,GajeraYash,1601560954.0,e4e5,3.0,1.0,1095,1092,0,0
54,rythamc,Kapilmalani,1601561059.0,e4d5,0.0,0.0,1143,1081,0,0
55,Tillimanjaro,rayder123,1601561614.0,g1f3,0.0,1.0,916,835,0,0
56,nurSMO,orrka,1601561728.0,e4d5,1.0,1.0,1046,1105,0,0
57,raulmiron,birichino33,1601561944.0,b1c3,3.0,1.0,1123,1164,0,0
58,MoKaveli,Cr33p,1601562565.0,e4e5,5.0,1.0,957,1043,0,0
59,Tillimanjaro,madjoy69,1601563980.0,e4e5,1.0,1.0,897,958,1,0
60,Rayanami,Dorian197,1601564169.0,e4e5,4.0,1.0,1143,1138,0,0
61,Vollmond,surisanto,1601565183.0,f2f3,2.0,1.0,997,1049,0,0
62,CoproKing,Johaanmanoj,1601565314.0,e4e5,-1.0,1.0,1122,1197,0,0
63,Laude10,Savy50,1601565553.0,e4e5,2.0,0.0,990,1000,0,0
64,Martin_Werner,VishyDevotee,1601565676.0,e4d5,2.0,0.5,1022,1144,0,0
65,Sutapa,fullspam,1601565745.0,e4e5,2.0,1.0,820,989,0,0
66,Nemexys,the0din,1601566317.0,e4d5,6.0,1.0,1111,1058,0,0
67,Maxsemus,ssskumar,1601567471.0,e4d5,2.0,0.0,1053,1116,0,0
68,Aron_Mendez,jordydia,1601567965.0,e4d5,3.0,0.0,1125,1187,0,0
