,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
69,mr0mike0h,Skinkfoot,1606825868.0,b1c3,3.0,1.0,1163,1149,0,0
70,Ghilli,On1kmc,1606825895.0,e4e5,2.0,0.0,1054,936,0,0
71,lee020402,zkysolan,1606826067.0,e4e5,-1.0,0.0,1037,1016,0,0
72,arcarrer2018,NWHS_KNgabtak,1606826080.0,e4d5,-1.0,1.0,958,940,1,0
73,Antonnn777,SergeiPetrov,1606826082.0,e4d5,2.0,1.0,1189,1189,0,0
74,Olivier8Perron,DjIcaroFurtado,1606826467.0,e4e5,4.0,1.0,1096,1157,1,0
75,SkillSoup,lee020402,1606826674.0,e4d5,-2.0,1.0,1025,1048,0,0
76,DrewBreesus,ulyses32,1606826691.0,e4e5,2.0,0.0,1037,1083,0,0
77,Nahomi_Calvay,Hottehue1,1606826753.0,e4e5,1.0,1.0,1175,1190,0,0
78,JpChaves96,ersintuzun,1606827623.0,b1c3,5.0,1.0,1080,1073,0,0
79,Rafa-eloi,Eusie,1606828050.0,e4d5,0.0,1.0,1133,1180,0,0
80,rascarr,RiyanOfficialCHESS,1606828411.0,e4e5,4.0,1.0,1096,1116,0,0
81,no2scrub,ansnic,1606829169.0,e4e5,-1.0,0.0,1030,1100,3,0
82,fox1985,hindustani_bhau23,1606829172.0,e4d5,1.0,0.0,1191,1194,0,0
83,harshal080,Myrinam,1606829247.0,b1d2,1.0,1.0,1087,982,0,0
84,fox1985,Abhi168989,1606829337.0,e4e5,1.0,1.0,1197,1193,1,0
85,willthehen,G0zdem08,1606829638.0,e4e5,2.0,1.0,1030,1064,0,0
86,Vortrix,vicksbr,1606829958.0,e4d5,4.0,1.0,997,1123,0,0
87,RudisLapis,hldnn,1606830113.0,b1c3,1.0,0.0,1095,1159,0,0
88,antifa7,JoshuaTinker752,1606830122.0,e4e5,2.0,1.0,1009,1025,0,0
89,paarshad,lefty2050,1606830324.0,e4d5,0.0,0.0,1045,1071,0,0
90,bjames46,liechessack,1606831637.0,b1c3,1.0,0.5,801,934,0,0
91,arcsahmeran,Mistershreyu,1606831690.0,e4d5,3.0,0.0,901,931,0,0
92,P1caresque,sharingov,1606831714.0,b1c3,3.0,0.0,1073,1024,0,0
93,Archimedes406,SeanLim,1606832005.0,f2f3,10.0,0.0,1044,1022,0,0
94,MRSA67,Shoesky,1606832126.0,e4d5,0.0,0.0,1121,1060,0,0
95,lagega,IlumInados2020,1606832691.0,e4e5,1.0,1.0,1177,1077,0,0
96,BanalBead,SeanWarner,1606832716.0,f1d3,6.0,1.0,984,973,0,0
97,xeaza,Beststepbro,1606832771.0,e4e5,2.0,1.0,1106,1083,0,0
98,Ovetganna,Adro1818,1606832776.0,f1d3,2.0,0.5,1053,1051,0,0
99,xvrhlt,Bukov_da,1606832858.0,e4e5,0.0,1.0,941,980,0,0
100,dragometal,egemen073,1606832875.0,e4e5,0.0,0.5,1168,1146,0,0
